feature 4,output
-3.56654348,0
-0.23804348,0
0.53906652,1
1.90844652,0
-0.88724348,0
1.55801652,0
-1.67984348,0
1.61103652,0
-3.13204348,0
-3.30664348,1
-2.59664348,0
-2.27214348,0
2.28215652,0
1.73904652,0
2.42305652,0
0.51578652,0
2.75415652,0
-0.01694348,1
0.65414652,0
1.47525652,0
0.62955652,0
1.42741652,0
0.43819652,0
1.51275652,1
0.91147652,1
2.29635652,0
1.03431652,0
1.81792652,0
2.22395652,0
0.23518652,1
-2.38204348,1
-3.37124348,0
-1.84284348,1
0.99940652,1
1.45974652,0
-3.74624348,1
1.10026352,1
-0.88984348,0
-4.27904348,0
-0.79924348,1
1.62008652,1
-3.14494348,0
1.76361652,0
-0.31694348,0
0.41104652,1
-2.15704348,0
2.17352652,1
0.03605652,0
-2.44284348,1
-0.52384348,0
-5.38584348,1
-4.45874348,0
0.61923652,0
0.59207652,1
1.79077652,1
-2.82164348,1
0.89078652,0
-5.81904348,1
2.73865652,1
2.33515652,0
2.21875652,1
-5.66904348,1
-1.20144348,1
-1.56354348,1
1.35629652,1
1.27871052,0
2.21495652,1
-2.91734348,0
2.10111652,0
1.89939652,1
-1.80274348,0
-1.05144348,0
-4.12904348,1
-2.81134348,0
-4.04494348,0
1.56836652,1
-1.95404348,1
1.24121052,0
2.61185652,0
0.51190652,0
1.10284952,1
-0.41004348,1
-2.11044348,0
-3.07124348,1
-1.20144348,1
-0.11654348,0
1.06664652,0
1.89292652,0
-1.63074348,0
2.09465652,1
0.99810652,0
0.39423652,0
-3.21864348,1
-1.33594348,0
-2.93034348,0
3.01145652,1
1.90715652,0
1.78172652,1
1.25802152,1
1.61232652,1
0.74724652,0
1.38474652,0
1.13129852,1
1.55284652,0
1.73775652,0
0.74207652,1
1.81792652,0
1.60456652,0
1.67568652,0
0.53906652,0
-0.99714348,0
1.68991652,1
1.24767652,1
2.29765652,1
1.19595262,0
-1.06694348,0
0.72397652,1
2.32355652,1
-2.77254348,1
0.35285652,1
-0.10494348,1
0.58949652,0
1.74422652,0
-2.14544348,0
-0.55364348,1
1.64077652,0
0.62957652,0
1.67698652,1
2.37525652,1
-4.27904348,0
0.26621652,0
0.75888652,0
3.08385652,0
0.29983652,1
0.89336652,0
1.81792652,1
-2.43244348,0
-0.04674348,0
-0.29884348,0
-1.89844348,0
-2.88114348,0
1.18560792,1
1.62525652,0
-1.91784348,0
0.49121652,1
-4.67214348,0
-1.75354348,1
2.54465652,1
-2.73894348,0
2.39075652,0
0.82612652,0
1.44293652,0
-3.16174348,0
1.55284652,0
1.13647052,1
-1.16134348,1
-0.08804348,1
2.53045652,0
1.36146652,1
1.83603652,0
0.49897652,0
1.04078652,0
-2.10274348,1
1.62008652,0
2.00542652,0
-2.14154348,0
-0.01824348,0
0.29337652,1
-1.66564348,1
3.21185652,0
0.81966652,0
2.35455652,1
