feature 1,feature 4,output
3.637564743,-3.56654348,0
1.523464743,-0.23804348,0
-0.323415257,0.53906652,1
1.967464743,1.90844652,0
-0.728835257,-0.88724348,0
3.587764743,1.55801652,0
0.271964743,-1.67984348,0
1.872864743,1.61103652,0
-1.687435257,-3.13204348,0
-5.599835257,-3.30664348,1
-0.260275257,-2.59664348,0
-2.929035257,-2.27214348,0
4.456864743,2.28215652,0
0.428284743,1.73904652,0
3.497264743,2.42305652,0
0.513584743,0.51578652,0
4.294764743,2.75415652,0
-3.951735257,-0.01694348,1
3.462464743,0.65414652,0
1.816664743,1.47525652,0
0.136864743,0.62955652,0
3.659464743,1.42741652,0
0.871164743,0.43819652,0
-0.005435257,1.51275652,1
-3.029835257,0.91147652,1
3.456764743,2.29635652,0
3.348064743,1.03431652,0
1.311464743,1.81792652,0
3.621464743,2.22395652,0
-4.455135257,0.23518652,1
-4.042235257,-2.38204348,1
3.377964743,-3.37124348,0
-4.911235257,-1.84284348,1
-1.843135257,0.99940652,1
3.568864743,1.45974652,0
-4.427135257,-3.74624348,1
-3.136535257,1.10026352,1
0.579764743,-0.88984348,0
-3.081635257,-4.27904348,0
0.090004743,-0.79924348,1
-0.315675257,1.62008652,1
5.311864743,-3.14494348,0
2.523364743,1.76361652,0
4.696464743,-0.31694348,0
-1.307135257,0.41104652,1
3.301464743,-2.15704348,0
-3.822135257,2.17352652,1
2.535764743,0.03605652,0
-6.596935257,-2.44284348,1
4.587664743,-0.52384348,0
-5.272935257,-5.38584348,1
-1.553035257,-4.45874348,0
2.970264743,0.61923652,0
-0.168565257,0.59207652,1
-1.833235257,1.79077652,1
-4.403535257,-2.82164348,1
2.755864743,0.89078652,0
-6.715235257,-5.81904348,1
-0.803865257,2.73865652,1
4.841864743,2.33515652,0
1.004064743,2.21875652,1
-5.674335257,-5.66904348,1
1.246164743,-1.20144348,1
-3.329435257,-1.56354348,1
-3.092735257,1.35629652,1
1.201164743,1.27871052,0
-1.152415257,2.21495652,1
3.030464743,-2.91734348,0
-0.223965257,2.10111652,0
-3.000235257,1.89939652,1
1.818864743,-1.80274348,0
2.551864743,-1.05144348,0
-4.667035257,-4.12904348,1
2.672264743,-2.81134348,0
3.782664743,-4.04494348,0
-3.210635257,1.56836652,1
-1.137195257,-1.95404348,1
1.397664743,1.24121052,0
1.585564743,2.61185652,0
1.741464743,0.51190652,0
-0.843245257,1.10284952,1
-4.629535257,-0.41004348,1
1.775364743,-2.11044348,0
-3.295635257,-3.07124348,1
-3.711535257,-1.20144348,1
2.131264743,-0.11654348,0
0.530404743,1.06664652,0
-1.572835257,1.89292652,0
