feature 1,feature 2,output
0,0.007843137,1
0.396078431,0.6,0
0.51372549,0.51372549,1
0.584313725,0.756862745,0
0.909803922,0.803921569,1
0.22745098,0.494117647,0
0.929411765,0.780392157,1
0.929411765,0.882352941,1
0.996078431,0.517647059,1
0.654901961,0.643137255,1
0.807843137,0.850980392,0
0.517647059,0.545098039,1
0.737254902,0.392156863,1
0.670588235,0.721568627,0
0.329411765,0.325490196,1
0.91372549,0.843137255,1
0.780392157,0.77254902,1
0.568627451,0.635294118,0
0.450980392,0.603921569,0
0.674509804,0.670588235,1
0.4,0.403921569,1
0.643137255,0.635294118,1
0.788235294,0.498039216,1
0.71372549,0.705882353,1
0.192156863,0.2,1
0.31372549,0.325490196,1
0.396078431,0.545098039,0
0.137254902,0.145098039,1
0.517647059,0.529411765,1
0.576470588,0.568627451,1
0.596078431,0.756862745,0
0,0.501960784,1
0.396078431,0.411764706,0
0.698039216,0.690196078,1
0.694117647,0.376470588,1
0.564705882,0.709803922,0
0.776470588,0.776470588,1
0.4,0.411764706,1
0.698039216,0.690196078,1
0.541176471,0.541176471,1
0.231372549,0.243137255,1
0.211764706,0.211764706,1
0.219607843,0.223529412,1
0.058823529,0.054901961,1
0.588235294,0.733333333,0
0.368627451,0.368627451,1
0.788235294,0.784313725,1
0.474509804,0.470588235,1
0.6,0.603921569,1
0.470588235,0.470588235,1
0.517647059,0.529411765,1
0.164705882,0.807843137,1
0.545098039,0.556862745,1
0.709803922,0.698039216,1
0.596078431,0.674509804,0
0.709803922,0.709803922,1
0.57254902,0.568627451,1
0.654901961,0.650980392,1
0.619607843,0.631372549,1
0.71372549,0.71372549,1
0.211764706,0.215686275,1
0.239215686,0.247058824,1
0.129411765,0.133333333,1
0.556862745,0.545098039,1
0.42745098,0.439215686,1
0.698039216,0.68627451,1
0.098039216,0.109803922,1
0.22745098,0.235294118,1
0.721568627,0.71372549,1
0.701960784,0.694117647,1
0.780392157,0.77254902,1
0.360784314,0.352941176,1
0.666666667,0.631372549,1
0.545098039,0.541176471,1
0.745098039,0.749019608,1
0.615686275,0.764705882,0
0.160784314,0.149019608,1
0.156862745,0.368627451,0
0.768627451,0.764705882,1
0.745098039,0.741176471,1
0.97254902,0.980392157,1
0.270588235,0.274509804,1
0.392156863,0.37254902,1
0.623529412,0.635294118,1
0.647058824,0.635294118,1
0.607843137,0.619607843,1
0.31372549,0.321568627,1
0.662745098,0.654901961,1
0.705882353,0.694117647,1
0.42745098,0.588235294,0
0.007843137,0,1
0.788235294,0.780392157,1
0.776470588,0.776470588,1
0.6,0.615686275,1
0.698039216,0.690196078,1
0.333333333,0.105882353,1
0.007843137,0.007843137,1
0.91372549,0.674509804,1
0.882352941,0.831372549,1
0.247058824,0.266666667,1
0.584313725,0.596078431,1
1,0.996078431,1
0.945098039,0.921568627,1
0.501960784,1,1
0.698039216,0.68627451,1
0.588235294,0.592156863,1
0.17254902,0.188235294,1
0.635294118,0.407843137,1
0.568627451,0.57254902,1
0.698039216,0.690196078,1
0.639215686,0.643137255,1
0.247058824,0.498039216,0
0.956862745,0.68627451,1
0.77254902,0.768627451,1
0.580392157,0.729411765,0
0.196078431,0.196078431,1
0.729411765,0.705882353,1
0.780392157,0.77254902,1
0.447058824,0.454901961,1
0.419607843,0.466666667,1
0.360784314,0.764705882,1
0.698039216,0.68627451,1
0.098039216,0.109803922,1
0.262745098,0.270588235,1
0.705882353,0.690196078,1
0.725490196,0.717647059,1
0.694117647,0.682352941,1
0.490196078,0.647058824,0
0.11372549,0.109803922,1
0.070588235,0.058823529,1
0.670588235,0.670588235,1
0.349019608,0.02745098,1
0.243137255,0.462745098,0
0.152941176,0.992156863,1
0.529411765,0.533333333,1
0.380392157,0.541176471,0
0.694117647,0.682352941,1
0.701960784,0.694117647,1
0.290196078,0.192156863,1
0.37254902,0.360784314,1
0.701960784,0.698039216,1
0.450980392,0.447058824,1
0.662745098,0.670588235,1
0.082352941,0.058823529,1
0.784313725,0.819607843,0
0.388235294,0.541176471,0
0.215686275,0.219607843,1
0.705882353,0.701960784,1
0.254901961,0.243137255,1
0.756862745,0.749019608,1
0.545098039,0.552941176,1
0.545098039,0.552941176,1
0.470588235,0.592156863,0
0.2,0.411764706,0
0.721568627,0.709803922,1
0.368627451,0.356862745,1
0.431372549,0.42745098,1
0.31372549,0.325490196,1
0.133333333,0.145098039,1
0.298039216,0.345098039,0
0.71372549,0.701960784,1
0.752941176,0.68627451,1
0.007843137,0.729411765,1
0.705882353,0.694117647,1
0.654901961,0.650980392,1
0.568627451,0.576470588,1
0.207843137,0.223529412,1
0.533333333,0.670588235,0
0.411764706,0.576470588,0
0.701960784,0.690196078,1
0.188235294,0.007843137,1
0.701960784,0.690196078,1
0.266666667,0.274509804,1
0.223529412,0.215686275,1
0.694117647,0.690196078,1
0.423529412,0.51372549,0
0.129411765,0.603921569,1
0.247058824,0.247058824,1
0.184313725,0.407843137,0
0.674509804,0.68627451,1
0.596078431,0.592156863,1
0.423529412,0.537254902,0
0.768627451,0.764705882,1
0.392156863,0.403921569,1
0.28627451,0.321568627,0
0.631372549,0.62745098,1
0.325490196,0.333333333,1
0.203921569,0.384313725,0
0.211764706,0.215686275,1
0.611764706,0.749019608,0
0.705882353,0.694117647,1
0.760784314,0.756862745,1
0.011764706,0.003921569,1
0.709803922,0.705882353,1
0.694117647,0.666666667,1
0.215686275,0.219607843,1
0.537254902,0.670588235,0
0.737254902,0.733333333,1
0.784313725,0.780392157,1
0.725490196,0.729411765,1
0.125490196,0.866666667,1
0.745098039,0.745098039,1
0.447058824,0.431372549,1
0.694117647,0.51372549,1
0.145098039,0.145098039,1
0.784313725,0.776470588,1
0.490196078,0.482352941,1
0.721568627,0.71372549,1
0.780392157,0.77254902,1
0.674509804,0.670588235,1
0.537254902,0.654901961,0
0.431372549,0.57254902,0
0.533333333,0.545098039,1
0.752941176,0.752941176,1
0.250980392,0.250980392,1
0.51372549,0.525490196,1
0.529411765,0.541176471,1
0.415686275,0.607843137,0
0.705882353,0.71372549,1
0.443137255,0.447058824,1
0.474509804,0.592156863,0
0.717647059,0.705882353,1
0.556862745,0.552941176,1
0.415686275,0.415686275,1
0.419607843,0.564705882,0
0.768627451,0.768627451,1
0.666666667,0.662745098,1
0.192156863,0.396078431,0
0.874509804,0.956862745,1
0.741176471,0.729411765,1
0.101960784,0.203921569,1
0.764705882,0.756862745,1
0.690196078,0.682352941,1
0.733333333,0.729411765,1
0.129411765,0.137254902,1
0.784313725,0.776470588,1
0.384313725,0.396078431,1
0.207843137,0.203921569,1
0.588235294,0.749019608,0
0.647058824,0.654901961,1
0.235294118,0.470588235,0
0.2,0.223529412,1
0.643137255,0.666666667,1
0.298039216,0.298039216,1
0.68627451,0.674509804,1
0.431372549,0.905882353,1
0.403921569,0.4,1
0.474509804,0.478431373,1
0.537254902,0.549019608,1
0.701960784,0.694117647,1
0.584313725,0.596078431,1
0.580392157,0.725490196,0
0.094117647,0.2,1
0.596078431,0.592156863,1
0.768627451,0.760784314,1
0.450980392,0.615686275,0
0.643137255,0.639215686,1
0.650980392,0.647058824,1
0.733333333,0.729411765,1
0.552941176,0.57254902,0
0.223529412,0.231372549,1
0.741176471,0.737254902,1
0.623529412,0.623529412,1
0.607843137,0.603921569,1
0.603921569,0.745098039,0
0.678431373,0.705882353,1
0.443137255,0.439215686,1
0.549019608,0.541176471,1
0.62745098,0.639215686,1
0.952941176,0.905882353,1
0.635294118,0.647058824,1
0.674509804,0.670588235,1
0.709803922,0.698039216,1
0.690196078,0.678431373,1
0.698039216,0.68627451,1
0.658823529,0.647058824,1
0.666666667,0.662745098,1
0.137254902,0.141176471,1
0.549019608,0.545098039,1
0.168627451,0.17254902,1
0.77254902,0.764705882,1
0.701960784,0.694117647,1
0.580392157,0.584313725,1
0.501960784,0.501960784,1
0.647058824,0.639215686,1
0.709803922,0.701960784,1
0.4,0.529411765,0
0.294117647,0.31372549,1
0.603921569,0.733333333,0
0.717647059,0.607843137,1
0.431372549,0.294117647,1
0.568627451,0.733333333,0
0.392156863,0.580392157,0
0.176470588,0.37254902,0
0.788235294,0.784313725,1
0.407843137,0.545098039,0
0.97254902,0.831372549,1
0.329411765,0.329411765,1
0.631372549,0.647058824,1
0,0,1
0.760784314,0.749019608,1
0.207843137,0.207843137,1
0.674509804,0.670588235,1
0.650980392,0.662745098,1
0.701960784,0.690196078,1
0.588235294,0.6,1
0.219607843,0.411764706,0
0.215686275,0.447058824,0
0.62745098,0.631372549,1
0.125490196,0.129411765,1
0.635294118,0.521568627,1
0.678431373,0.678431373,1
0.784313725,0.77254902,1
0.694117647,0.682352941,1
0.705882353,0.705882353,1
0.62745098,0.639215686,1
0.662745098,0.725490196,0
0.788235294,0.780392157,1
0.419607843,0.545098039,0
0.701960784,0.694117647,1
0.023529412,0.02745098,1
0.97254902,0.980392157,1
0.215686275,0.203921569,1
0.509803922,0.603921569,0
0.384313725,0.568627451,0
0.545098039,0.549019608,1
0.007843137,0.019607843,1
0.643137255,0.635294118,1
0.380392157,0.57254902,0
0.349019608,0.403921569,0
0.745098039,0.737254902,1
0.635294118,0.623529412,1
0.51372549,0.631372549,0
0.176470588,0.415686275,0
0.8,0.792156863,1
0.776470588,0.768627451,1
0.768627451,0.77254902,1
0.231372549,0.125490196,1
0.474509804,0.6,0
0.133333333,0.129411765,1
0.788235294,0.784313725,1
0.003921569,0.011764706,1
0.780392157,0.77254902,1
0.717647059,0.705882353,1
0.694117647,0.682352941,1
0.721568627,0.6,1
0.717647059,0.705882353,1
0.552941176,0.721568627,0
0.68627451,0.674509804,1
0.643137255,0.62745098,1
0.078431373,0.062745098,1
0.325490196,0.435294118,0
0.764705882,0.819607843,0
0.541176471,0.541176471,1
0.164705882,0.168627451,1
0.262745098,0.482352941,0
0.533333333,0.631372549,0
0.015686275,0.717647059,1
0.015686275,0.019607843,1
0.368627451,0.360784314,1
0.494117647,0.364705882,1
0.701960784,0.690196078,1
0.545098039,0.635294118,0
0.250980392,0.258823529,1
0.823529412,0.831372549,1
0.701960784,0.690196078,1
0,0.003921569,1
0.960784314,0.980392157,1
0.403921569,0.4,1
0.690196078,0.68627451,1
0.68627451,0.678431373,1
0.741176471,0.745098039,1
0.788235294,0.784313725,1
0.650980392,0.635294118,1
0.760784314,0.396078431,1
0.62745098,0.643137255,1
0.529411765,0.490196078,1
0.439215686,0.6,0
0.68627451,0.678431373,1
0.549019608,0.564705882,1
0.949019608,0.91372549,1
0.690196078,0.682352941,1
0.282352941,0.352941176,0
0.615686275,0.635294118,1
0.117647059,0.11372549,1
0.611764706,0.694117647,0
0.28627451,0.184313725,1
0.776470588,0.764705882,1
0.650980392,0.725490196,0
0.054901961,0.756862745,1
0.219607843,0.223529412,1
1,0,1
0.658823529,0.721568627,0
0.576470588,0.588235294,1
0.674509804,0.658823529,1
0.498039216,0.498039216,1
0.756862745,0.752941176,1
0.674509804,0.666666667,1
0.678431373,0.733333333,0
0.439215686,0.435294118,1
0.596078431,0.611764706,1
0.231372549,0.231372549,1
0.125490196,0.129411765,1
0.243137255,0.258823529,1
0.670588235,0.666666667,1
0.51372549,0.525490196,1
0.670588235,0.674509804,1
0.701960784,0.694117647,1
0.007843137,0.705882353,1
0.97254902,0.980392157,1
0.77254902,0.77254902,1
0.219607843,0.239215686,1
0.352941176,0.262745098,1
0.074509804,0.062745098,1
0.580392157,0.576470588,1
0.298039216,0.698039216,1
0.505882353,0.521568627,1
0.188235294,0.392156863,0
0.870588235,0.588235294,1
0.635294118,0.62745098,1
0.701960784,0.694117647,1
0.529411765,0.662745098,0
0.011764706,0.007843137,1
0.282352941,0.28627451,1
0.91372549,0.37254902,1
0.611764706,0.615686275,1
0.023529412,0.015686275,1
0.145098039,0.274509804,1
0.541176471,0.545098039,1
0.31372549,0.458823529,0
0.243137255,0.223529412,1
0.384313725,0.564705882,0
0.564705882,0.729411765,0
0.674509804,0.670588235,1
0.411764706,0.419607843,1
0.37254902,0.368627451,1
0.11372549,0.109803922,1
0.090196078,0.078431373,1
0.498039216,0.592156863,0
0.662745098,0.705882353,0
0.352941176,0.266666667,1
0.211764706,0.22745098,1
