feature 7,feature 8,output
0.15029889,0.366666667,0
0.029888984,0,0
0.034158839,0,0
0.332194705,0.216666667,0
0.056362084,0.483333333,0
0.105038429,0.566666667,0
0.104611443,0.016666667,0
0.364645602,0.383333333,0
0.111016225,0.266666667,0
0.059777968,0.733333333,0
0.026900085,0.316666667,1
0.036720751,0.65,0
0.030742955,0.133333333,1
0.392399658,0.366666667,0
0.293766012,0.016666667,0
0.377455167,0.116666667,1
0.080700256,0.116666667,0
0.122117848,0.05,0
0.057216055,0.25,1
0.150725875,0.05,1
0.032023911,0.45,0
0.122544833,0.133333333,0
0.042698548,0.4,0
0.090093937,0,0
0.086251067,0.3,0
0.118274979,0.333333333,1
0.054654142,0.1,0
0.030315969,0.116666667,0
0.020922289,0.033333333,1
0.201964133,0.283333333,0
0.290777114,0.066666667,1
0.188727583,0.766666667,1
0.0794193,0.166666667,1
0.324935952,0.15,1
0.327497865,0.55,0
0.347993168,0.2,1
0.212211785,0.683333333,1
0.33176772,0.283333333,1
0.077284372,0.683333333,0
0.081981213,0.083333333,1
0.09735269,0.116666667,0
0.260034159,0.683333333,0
0.199829206,0.65,0
0.165243382,0.283333333,1
0.046968403,0.116666667,0
0.330059778,0.116666667,1
0.560204953,0.583333333,1
0.124679761,0.1,0
0.325362938,0.616666667,0
0.461571307,0.616666667,0
0.029888984,0,0
0.295900939,0.533333333,1
0.192143467,0.616666667,1
0.198121264,0.033333333,1
0.055081127,0,0
0.091801879,0.033333333,0
0.055081127,0.7,0
0.040990606,0.016666667,0
0.34500427,0.033333333,0
0.024338173,0.333333333,1
0.155849701,0.4,1
0.111870196,0.1,0
0.215200683,0.65,0
0.362083689,0.383333333,1
0.06618275,0.033333333,0
0.126814688,0.05,0
0.090520922,0.066666667,0
0.063620837,0.266666667,1
0.215200683,0.1,0
0.266438941,0.116666667,1
0.273270709,0.35,0
0.10204953,0.216666667,0
0.052092229,0.616666667,0
0.072160547,0.05,1
0.073014518,0.133333333,0
0.096925705,0.733333333,0
0.205807003,0.533333333,0
0.369769428,0.3,0
0.177198975,0.016666667,0
0.04824936,0.15,0
0.130230572,0.25,1
0.184457728,0.016666667,1
0.124679761,0.2,0
0.087959009,0.083333333,0
0.276259607,0.033333333,0
0.140905209,0.25,1
0.11058924,0.25,1
0.34030743,0.15,1
0.053373185,0.183333333,0
0.037574722,0.066666667,0
0.193851409,0.016666667,0
0.067890692,0.133333333,0
0.010247652,0.016666667,0
0.044833476,0.283333333,1
0.188727583,0.083333333,0
0.22587532,0.116666667,0
0.128949616,0.35,0
0.235269001,0.05,0
0.42442357,0,1
0.133646456,0.333333333,0
0.112297182,0.483333333,0
0.152006832,0,0
0.215627669,0.35,1
0.107173356,0.133333333,0
0.309564475,0.166666667,1
0.071733561,0.116666667,0
0.265157985,0.05,0
0.38087105,0.166666667,1
0.518360376,0.1,1
0.447907771,0.366666667,1
0.155849701,0.016666667,0
0.1058924,0.016666667,0
0.096925705,0.05,0
0.037147737,0.366666667,1
0.192143467,0.066666667,0
0.18616567,0,0
