feature 2,feature 3,output
1.765046879,-3.336127117,1
-0.455253121,-2.124517117,1
3.656446879,-3.806527117,0
1.684346879,-5.453327117,1
4.304146879,-1.275387117,0
6.383746879,-1.374783117,0
-11.24865312,7.975072883,1
1.044946879,-2.724327117,0
4.873146879,-1.568427117,0
2.363146879,-6.243327117,1
-2.069283121,-0.594207117,0
7.163846879,-4.764427117,0
8.928946879,-4.544227117,0
1.349146879,-3.164727117,1
-0.856653121,7.431772883,0
0.573146879,-0.601917117,1
6.894846879,-2.929927117,0
1.374046879,-3.653927117,1
6.855546879,-3.611127117,0
1.661646879,-0.672177117,0
0.730446879,-4.173227117,1
8.225346879,-5.334227117,0
-3.103953121,-0.015827117,1
-2.690063121,6.359872883,0
-8.508853121,3.450972883,1
-0.678753121,2.819472883,0
-4.343453121,1.243672883,0
1.256046879,-4.974327117,1
-5.311853121,2.091972883,0
-6.377553121,3.174172883,0
6.429246879,-3.940127117,0
5.963646879,-3.061927117,0
1.998946879,-1.889747117,1
7.339746879,-4.918627117,0
-0.461453121,-0.047527117,0
4.891746879,-0.555647117,0
0.984946879,-0.339727117,0
7.248646879,-5.043727117,0
9.297246879,-5.011227117,0
-4.858653121,0.801572883,0
-0.862853121,-3.741327117,1
-8.529553121,4.404572883,1
5.284946879,-3.079027117,0
6.894846879,-1.459610117,1
-7.761853121,3.166472883,1
-2.149983121,0.090372883,1
2.106546879,-1.756077117,1
-1.529203121,-1.726087117,1
-6.017453121,2.969372883,0
-6.478953121,5.055772883,1
5.278746879,-2.612927117,0
-1.212553121,-0.640427117,0
-4.717953121,0.673072883,0
-8.777853121,4.819272883,1
7.832246879,-4.572527117,0
1.388446879,-5.905727117,1
-2.019618121,-1.615557117,1
-4.728353121,0.613972883,0
-1.953401121,-1.071467117,0
-6.371353121,2.145072883,0
0.699446879,0.453672883,0
-8.734453121,5.742172883,1
-7.826053121,9.584172883,1
-0.724253121,-0.731297117,0
10.03804688,1.685872883,0
5.158746879,-2.723427117,0
-1.955471121,3.337872883,0
8.066046879,-0.217227117,0
-4.840053121,0.825572883,0
7.370746879,-2.181927117,0
-0.544253121,-0.239427117,0
8.742746879,-4.926427117,0
10.04014688,-1.319089117,0
5.694646879,-3.785027117,0
1.773346879,-5.557027117,1
0.593846879,-0.564217117,1
5.837446879,-3.846727117,0
-0.763553121,2.527272883,0
-2.112733121,-2.303597117,1
-10.22635312,11.15737288,1
-9.369653121,5.094372883,1
-5.620153121,2.596672883,0
4.955946879,-0.949787117,0
-0.148953121,5.377972883,0
-5.253853121,3.732872883,0
-1.345033121,-0.055227117,0
-9.038653121,4.392572883,1
4.347546879,-1.239407117,1
7.610846879,-4.476527117,0
-10.55125312,9.042672883,1
1.972046879,-6.214227117,1
7.724646879,-4.605027117,0
-3.999953121,1.411672883,1
1.369846879,-3.367827117,1
6.445846879,-2.798027117,0
-7.107953121,2.295872883,0
3.898546879,-0.201727117,0
-1.214673121,0.892372883,0
5.131846879,-1.570147117,1
-8.711653121,3.878472883,1
6.189246879,-4.348827117,0
0.289746879,-4.515927117,1
-8.761353121,7.023072883,0
6.007146879,-0.780997117,1
1.092546879,-1.169137117,0
-8.690953121,5.277672883,1
-6.377553121,3.174172883,0
10.70234688,-0.661897117,0
-14.76845312,11.39807288,1
5.129746879,-3.451727117,0
-11.28995312,7.935672883,1
-6.408553121,2.258172883,0
-9.162753121,10.04427288,1
8.072246879,-5.205727117,0
8.465446879,-2.800527117,0
3.573646879,-3.875027117,0
3.869546879,-1.331941117,0
-14.91125312,11.65687288,1
4.426146879,-2.133087117,0
0.676646879,0.696172883,0
-1.444363121,-3.378027117,1
8.130246879,-5.284527117,0
-0.819453121,-3.697627117,1
-4.575153121,0.739872883,0
7.116246879,-4.639327117,0
6.005046879,-1.454469117,0
0.751146879,-2.238477117,1
7.072746879,-5.780627117,0
-0.020653121,-4.708727117,1
1.299546879,-4.827827117,1
-3.437053121,-0.178627117,1
-0.829753121,-1.752647117,1
4.477946879,0.152972883,0
4.124046879,-1.509307117,0
9.057246879,-4.954627117,0
-5.280753121,-0.022727117,1
0.773946879,-4.520227117,1
0.554546879,0.540272883,0
1.378146879,-0.334627117,1
-0.397353121,-2.806527117,1
-2.427263121,1.235172883,1
-1.742333121,0.397972883,1
6.743746879,-4.204927117,0
-2.820433121,6.690672883,0
1.496046879,-1.190567117,0
-2.779043121,1.320872883,1
-3.331553121,-0.239427117,1
8.541946879,-5.781527117,0
7.826046879,-1.243687117,0
-7.724653121,9.846372883,1
1.270546879,-4.803027117,1
9.111046879,1.788672883,0
-2.406573121,0.306372883,1
1.887146879,-6.338427117,1
-0.993253121,-0.612197117,0
-2.630053121,1.134872883,1
-7.050053121,3.164772883,1
-6.271953121,0.592472883,1
-1.349173121,-3.337827117,1
7.062446879,-2.332727117,0
2.954946879,-6.317027117,1
-6.752053121,2.057672883,0
7.439046879,-5.029227117,0
-6.344453121,6.692372883,0
-1.220873121,-1.909447117,1
-4.889753121,0.971272883,0
-2.158263121,-1.377354117,1
-5.982253121,2.228272883,0
4.221346879,0.385172883,0
10.02354688,1.696972883,0
-6.031953121,3.172472883,0
4.935246879,-2.464727117,0
6.634146879,-4.789327117,0
1.334646879,-2.769727117,0
7.234246879,-3.546827117,0
-8.150853121,8.841272883,1
7.436946879,-4.754127117,0
1.210546879,-4.408827117,1
-6.313353121,3.348972883,0
5.210446879,-1.712377117,0
4.935246879,-2.559827117,0
-2.567973121,-1.817767117,1
-1.520923121,0.058672883,0
-2.572113121,6.268272883,0
0.175846879,-4.593027117,1
8.899946879,1.246272883,0
-8.953753121,6.095972883,1
-0.773953121,0.742472883,0
-15.69545312,16.52977288,1
-4.724153121,2.313872883,1
0.569046879,-4.337727117,1
-8.697153121,6.989672883,0
-10.43125312,10.96537288,1
-8.384753121,6.959672883,0
-0.186253121,-2.891427117,1
-3.501253121,6.632372883,0
-5.719453121,3.245272883,0
-1.715433121,-0.150327117,1
-5.030453121,1.056072883,0
1.974046879,-1.586427117,1
-0.815253121,-3.868227117,1
8.399246879,-5.109727117,0
-5.506353121,2.290772883,0
-5.549853121,1.470772883,0
0.987046879,1.506772883,0
-7.439053121,9.541372883,1
0.326946879,-0.051827117,0
1.175346879,-4.358327117,1
1.539546879,-1.876037117,1
1.578846879,-5.377127117,1
4.871046879,-0.711587117,1
7.259046879,-6.004327117,0
8.850346879,-2.786027117,0
-0.144853121,-0.660177117,1
-5.384253121,0.307172883,1
-8.494353121,9.127472883,1
-3.699853121,6.933972883,0
-4.837953121,0.815272883,0
6.694146879,-4.677027117,0
-0.939453121,-0.709017117,0
0.105546879,-3.762827117,1
8.453046879,-2.941127117,0
-14.98575312,15.71397288,1
7.159746879,-4.708727117,0
5.740146879,-1.243687117,0
-8.088853121,6.685472883,0
-0.006253121,-4.507427117,1
-2.251373121,-1.825477117,1
1.355346879,-2.332727117,1
-0.511153121,0.409972883,0
-5.694653121,1.485372883,0
5.942946879,-3.749127117,0
6.284446879,-4.180027117,0
2.507946879,-2.731127117,0
5.313946879,-1.288247117,1
1.818846879,-5.939127117,1
1.649246879,-0.570207117,1
-2.946653121,-2.337867117,1
-7.225953121,2.482672883,0
-7.946053121,3.844272883,1
3.037746879,-2.046547117,1
-4.126153121,-1.493027117,1
-7.712253121,4.614572883,1
8.293646879,-4.839027117,0
1.241546879,-1.170857117,0
1.291246879,2.948872883,0
-1.738193121,-0.492237117,1
-1.462983121,-0.035527117,0
1.448446879,-5.896327117,1
4.159246879,-1.160577117,0
1.833346879,-3.132127117,0
-1.440223121,3.347272883,0
0.550446879,3.060172883,0
-1.028433121,-3.025927117,1
-2.170673121,-1.853757117,1
-1.932709121,-2.390997117,1
5.916046879,-4.932427117,0
-2.222403121,0.026172883,1
-1.645083121,-1.189707117,0
-2.580393121,1.286572883,1
1.434046879,-2.117667117,1
-2.069283121,-1.353362117,1
1.098746879,-3.810827117,1
2.783146879,-0.021827117,0
6.280246879,-4.023227117,0
1.212546879,-1.056897117,0
9.609746879,1.192272883,0
-2.065143121,-1.429621117,1
4.403446879,-0.499947117,1
0.310346879,-1.660967117,0
5.479446879,-1.325943117,0
3.064646879,-6.548427117,1
5.071846879,-3.248727117,0
3.836446879,-2.151077117,0
6.203746879,-1.266817117,1
-8.513053121,4.245272883,1
-2.911473121,0.960972883,1
4.341346879,-3.348927117,0
4.879346879,-0.542797117,1
1.974046879,-2.828027117,0
0.341446879,-4.502227117,1
5.736046879,-0.841827117,1
8.188146879,-3.089327117,0
2.950746879,-6.683727117,1
-7.370753121,4.406272883,1
-7.585953121,9.571372883,1
5.504246879,-0.162327117,0
8.434346879,-5.127727117,0
8.231546879,-5.253727117,0
-14.09595312,12.97127288,1
-15.20925312,12.07507288,1
6.305046879,-3.814227117,0
-1.113273121,6.765172883,0
-1.686463121,-3.276127117,1
-4.331053121,3.175872883,1
-0.740853121,-1.930867117,1
6.245046879,-3.856227117,0
-5.169053121,2.060272883,0
-6.065053121,3.835672883,0
0.575246879,-0.366327117,0
-7.068653121,8.935572883,1
-5.667753121,1.429672883,0
-3.838553121,-1.553007117,1
-1.837522121,-1.643827117,1
6.265746879,-4.531427117,0
-0.529753121,0.314872883,0
6.801746879,0.823872883,0
-11.07895312,8.178972883,1
