Round,Loss,Accuracy
0,0.6929159018704054,0.605
1,0.691219603938205,0.606
2,0.6903480005036354,0.606
3,0.689847478957375,0.606
4,0.6895184227788639,0.606
5,0.6892711380766243,0.606
6,0.6890644666200456,0.606
7,0.6888790856539924,0.606
8,0.6887056752741776,0.606
9,0.6885395957426809,0.606
10,0.6883784489975555,0.606
11,0.6882209400154045,0.606
12,0.6880663342413312,0.606
13,0.6879141936708502,0.606
14,0.6877642449427148,0.606
15,0.687616307339448,0.606
16,0.6874702549330496,0.606
17,0.6873259973737754,0.606
18,0.687183464695366,0.606
19,0.6870426024145588,0.606
20,0.686903364402947,0.606
21,0.6867657109669859,0.606
22,0.6866296078123746,0.606
23,0.6864950227490997,0.606
24,0.6863619275218409,0.606
25,0.6862302929429398,0.606
26,0.6861000926450475,0.606
27,0.6859713017461854,0.606
28,0.6858438956639878,0.606
29,0.6857178492878245,0.606
30,0.6855931417027259,0.606
31,0.6854697497355751,0.606
32,0.6853476499407415,0.606
33,0.6852268213793142,0.606
34,0.6851072431481783,0.606
35,0.6849888947517887,0.606
36,0.6848717560135358,0.606
37,0.6847558070046996,0.606
38,0.6846410286592987,0.606
39,0.6845274014976745,0.606
40,0.6844149066638161,0.606
41,0.6843035266808792,0.606
42,0.6841932434921726,0.606
43,0.68408403924558,0.606
44,0.6839758974056176,0.606
45,0.6838688000382886,0.606
46,0.6837627317893673,0.606
47,0.6836576761295687,0.606
48,0.6835536167289821,0.606
49,0.6834505388198538,0.606
50,0.6833484264003291,0.606
51,0.6832472656102971,0.606
52,0.6831470410164806,0.606
53,0.6830477385730612,0.606
54,0.6829493441122554,0.606
55,0.6828518430583407,0.606
56,0.682755222107251,0.606
57,0.6826594681569095,0.606
58,0.6825645688237373,0.606
59,0.6824705108126903,0.606
60,0.6823772806437247,0.606
61,0.6822848664184239,0.606
62,0.6821932567420343,0.606
63,0.6821024393143859,0.606
64,0.6820124020972854,0.606
65,0.6819231335951961,0.606
66,0.6818346232946172,0.606
67,0.6817468592761877,0.606
68,0.6816598308482094,0.606
69,0.6815735276833627,0.606
70,0.6814879395785818,0.606
71,0.681403055301918,0.606
72,0.6813188661253184,0.606
73,0.681235360280677,0.606
74,0.681152529215035,0.606
75,0.6810703632577648,0.606
76,0.6809888525677166,0.606
77,0.6809079887833038,0.606
78,0.6808277610901028,0.606
79,0.6807481625746507,0.606
80,0.6806691828247086,0.606
81,0.6805908146360055,0.606
82,0.6805130478196963,0.606
83,0.6804358753208176,0.606
84,0.680359288654031,0.606
85,0.6802832799484513,0.606
86,0.6802078411889068,0.606
87,0.6801329638907017,0.606
88,0.6800586411207258,0.606
89,0.6799848655749777,0.606
90,0.6799116290927385,0.606
91,0.679838924760974,0.606
92,0.6797667459192085,0.606
93,0.679695084666695,0.606
94,0.6796239349400203,0.606
95,0.6795532889471897,0.606
96,0.679483141045933,0.606
97,0.6794134834516922,0.606
98,0.6793443099872032,0.606
99,0.6792756148767559,0.606
100,0.6792073917512161,0.606
101,0.679139633841999,0.606
102,0.6790723349083194,0.606
103,0.6790054897452091,0.606
104,0.6789390924548625,0.606
105,0.6788731371272934,0.606
106,0.6788076176136827,0.606
107,0.6787425279576651,0.606
108,0.6786778632486673,0.606
109,0.6786136183725111,0.606
110,0.6785497874018745,0.606
111,0.678486365361647,0.606
112,0.6784233467922949,0.606
113,0.6783607261049267,0.606
114,0.6782984985302144,0.606
115,0.678236659762292,0.606
116,0.6781752043396754,0.606
117,0.678114127300184,0.606
118,0.678053423802618,0.606
119,0.6779930898010081,0.606
120,0.6779331204192597,0.606
121,0.6778735104184697,0.606
122,0.6778142561306498,0.606
123,0.6777553523612657,0.606
124,0.6776967958660127,0.606
125,0.6776385814175674,0.606
126,0.6775807052556914,0.606
127,0.6775231631135787,0.606
128,0.6774659505833747,0.606
129,0.677409063773355,0.606
130,0.6773524980873062,0.606
131,0.6772962505006921,0.606
132,0.6772403170362509,0.606
133,0.6771846932010211,0.606
134,0.6771293757593781,0.606
135,0.6770743609449991,0.606
136,0.6770196450042364,0.606
137,0.6769652245227573,0.606
138,0.67691109496877,0.606
139,0.6768572539349864,0.606
140,0.6768036972683178,0.606
141,0.6767504217165142,0.606
142,0.6766974241429489,0.606
143,0.6766447005764356,0.606
144,0.6765922483398533,0.606
145,0.6765400642158103,0.606
146,0.6764881440655686,0.606
147,0.6764364856940844,0.606
148,0.676385085195367,0.606
149,0.6763339401821281,0.606
150,0.6762830475387065,0.606
151,0.676232403816311,0.606
152,0.6761820060043479,0.606
153,0.6761318512305615,0.606
154,0.6760819366952974,0.606
155,0.6760322590851149,0.606
156,0.6759828167396956,0.606
157,0.6759336062898531,0.606
158,0.675884624750946,0.606
159,0.6758358693810582,0.606
160,0.6757873369801526,0.606
161,0.6757390256529411,0.606
162,0.6756909329222627,0.606
163,0.6756430555616103,0.606
164,0.6755953914037901,0.606
165,0.6755479380051367,0.606
166,0.6755006921556594,0.606
167,0.675453652028129,0.606
168,0.6754068150719823,0.606
169,0.6753601785344135,0.606
170,0.6753137407004376,0.606
171,0.6752674989618097,0.606
172,0.6752214507052513,0.606
173,0.6751755938191251,0.606
174,0.6751299259315742,0.606
175,0.6750844451154965,0.606
176,0.6750391486634522,0.606
177,0.6749940339783914,0.606
178,0.6749490998930314,0.606
179,0.6749043436295078,0.606
180,0.6748597631860355,0.606
181,0.6748153562464382,0.606
182,0.6747711210796761,0.606
183,0.6747270554259367,0.606
184,0.6746831578995062,0.606
185,0.6746394254419166,0.606
186,0.6745958569298025,0.606
187,0.6745524492554712,0.606
188,0.6745092014035498,0.606
189,0.6744661113244294,0.606
190,0.6744231768043879,0.606
191,0.6743803963834192,0.606
192,0.6743377679450839,0.606
193,0.6742952893564105,0.606
194,0.6742529596203599,0.606
195,0.6742107757157828,0.606
196,0.6741687369330198,0.606
197,0.6741268407693428,0.606
198,0.674085085541779,0.606
199,0.674043469532888,0.606
200,0.6740019915026917,0.606
201,0.6739606491785942,0.606
202,0.67391944134243,0.606
203,0.673878366092737,0.606
204,0.673837421593651,0.606
205,0.67379660638783,0.606
206,0.6737559187904995,0.606
207,0.6737153571853307,0.606
208,0.6736749200804542,0.606
209,0.6736346056990326,0.606
210,0.6735944129249765,0.606
211,0.6735543395750347,0.606
212,0.6735143847898337,0.606
213,0.6734745461725697,0.606
214,0.6734348228412098,0.606
215,0.6733952132264811,0.606
216,0.6733557159358038,0.606
217,0.6733163291852138,0.606
218,0.6732770514877521,0.606
219,0.6732378820500367,0.606
220,0.6731988190488152,0.606
221,0.6731598605188949,0.606
222,0.6731210055490023,0.606
223,0.6730822529612727,0.606
224,0.673043600985653,0.606
225,0.6730050483687257,0.606
226,0.6729665934902141,0.606
227,0.6729282357128309,0.606
228,0.6728899729478552,0.606
229,0.6728518048274671,0.606
230,0.6728137290937282,0.606
231,0.6727757448517475,0.606
232,0.672737850728476,0.606
233,0.6727000454996862,0.606
234,0.6726623277602333,0.606
235,0.6726246963946105,0.606
236,0.6725871503643611,0.606
237,0.672549687950426,0.606
238,0.6725123080696382,0.606
239,0.6724750093977716,0.606
240,0.6724377910220325,0.606
241,0.6724006515416637,0.606
242,0.6723635900430793,0.606
243,0.6723266049920607,0.606
244,0.6722896956479111,0.606
245,0.6722528602920479,0.606
246,0.6722160981858897,0.606
247,0.6721794077267996,0.606
248,0.672142788121987,0.606
249,0.6721062387795996,0.606
250,0.6720697575540137,0.606
251,0.6720333435787511,0.606
252,0.6719969960219314,0.606
253,0.6719607138756384,0.606
254,0.6719244957777537,0.606
255,0.6718883410739216,0.606
256,0.6718522483674719,0.606
257,0.6718162165263716,0.606
258,0.6717802441411298,0.606
259,0.6717443310002161,0.606
260,0.6717084755616267,0.606
261,0.6716726763595119,0.606
262,0.6716369330134421,0.606
263,0.6716012442646684,0.606
264,0.6715656093922833,0.606
265,0.6715300270018223,0.606
266,0.6714944965129107,0.606
267,0.6714590162151506,0.606
268,0.6714235855493906,0.606
269,0.671388203703551,0.606
270,0.6713528695835153,0.606
271,0.6713175817583796,0.606
272,0.6712823397551758,0.606
273,0.6712471422699839,0.606
274,0.67121198906771,0.606
275,0.6711768787384583,0.606
276,0.6711418100277046,0.606
277,0.6711067824116814,0.606
278,0.6710717948260595,0.606
279,0.6710368461361889,0.606
280,0.6710019356777813,0.606
281,0.6709670619463242,0.606
282,0.6709322250636115,0.606
283,0.670897423142018,0.606
284,0.6708626562463146,0.606
285,0.6708279230259637,0.606
286,0.6707932221899311,0.606
287,0.6707585532375889,0.606
288,0.6707239150354929,0.606
289,0.6706893071395359,0.606
290,0.6706547286632365,0.606
291,0.6706201778975364,0.606
292,0.6705856545863685,0.606
293,0.6705511584515981,0.606
294,0.6705166874958937,0.606
295,0.6704822422438926,0.606
296,0.6704478204256675,0.606
297,0.6704134216821475,0.606
298,0.6703790453949939,0.606
299,0.6703446904627317,0.606
300,0.6703103563676854,0.606
301,0.6702760425105322,0.606
302,0.670241747231516,0.606
303,0.6702074698301644,0.606
304,0.6701732098530815,0.606
305,0.6701389670270462,0.606
306,0.6701047400535307,0.606
307,0.6700705274802954,0.606
308,0.6700363291555516,0.606
309,0.6700021447549291,0.606
310,0.6699679723129052,0.606
311,0.669933811575033,0.606
312,0.6698996616145926,0.606
313,0.6698655220179617,0.606
314,0.6698313916056237,0.606
315,0.6697972702279315,0.606
316,0.6697631566540367,0.606
317,0.6697290500338756,0.606
318,0.6696949495572062,0.606
319,0.6696608547416845,0.606
320,0.6696267647584347,0.606
321,0.6695926784888024,0.606
322,0.669558596241148,0.606
323,0.669524516343492,0.606
324,0.6694904380384866,0.606
325,0.6694563605914653,0.606
326,0.6694222835374278,0.606
327,0.6693882059752478,0.606
328,0.6693541273655468,0.606
329,0.6693200467789736,0.606
330,0.6692859632919499,0.606
331,0.6692518763748411,0.606
332,0.6692177851196709,0.606
333,0.6691836893473722,0.606
334,0.669149588281215,0.606
335,0.66911548033847,0.606
336,0.6690813657255842,0.606
337,0.6690472435443442,0.606
338,0.6690131127413688,0.606
339,0.6689789728307873,0.606
340,0.6689448226853071,0.606
341,0.6689106625155323,0.606
342,0.6688764910302246,0.606
343,0.6688423070957655,0.606
344,0.6688081104956197,0.606
345,0.668773900748349,0.606
346,0.6687396766101876,0.606
347,0.6687054380348022,0.606
348,0.6686711837118071,0.606
349,0.6686369135219556,0.606
350,0.6686026261159088,0.606
351,0.6685683217632854,0.606
352,0.6685339988031466,0.606
353,0.6684996570778078,0.606
354,0.6684652956425234,0.606
355,0.6684309142489272,0.606
356,0.668396511623786,0.606
357,0.6683620877870126,0.606
358,0.6683276412721587,0.606
359,0.6682931719485495,0.606
360,0.6682586791034695,0.606
361,0.6682241620209668,0.606
362,0.6681896203415753,0.606
363,0.6681550531350083,0.606
364,0.6681204593311095,0.606
365,0.668085838409268,0.606
366,0.6680511900812096,0.606
367,0.6680165136024416,0.606
368,0.6679818086586027,0.606
369,0.6679470736842381,0.606
370,0.6679123087686355,0.606
371,0.6678775127046908,0.606
372,0.6678426855632058,0.606
373,0.6678078262245821,0.606
374,0.6677729344203248,0.606
375,0.6677380087197894,0.606
376,0.6677030494680823,0.606
377,0.6676680555311989,0.606
378,0.6676330261332546,0.606
379,0.6675979614662554,0.606
380,0.6675628595712396,0.606
381,0.6675277209577843,0.606
382,0.66749254458571,0.606
383,0.6674573294309405,0.606
384,0.6674220753176202,0.606
385,0.6673867809663224,0.606
386,0.6673514469897509,0.606
387,0.6673160723742995,0.606
388,0.6672806555689262,0.606
389,0.6672451969589901,0.606
390,0.6672096951526657,0.606
391,0.6671741500413428,0.606
392,0.667138561157932,0.606
393,0.6671029276735898,0.606
394,0.6670672488135423,0.606
395,0.6670315242412341,0.606
396,0.6669957533317019,0.606
397,0.6669599355241093,0.606
398,0.6669240698992411,0.606
399,0.6668881562392391,0.606
400,0.6668521931754405,0.606
401,0.6668161807126675,0.606
402,0.666780118066635,0.606
403,0.6667440049270301,0.606
404,0.6667078407272514,0.606
405,0.6666716243962739,0.606
406,0.6666353561124255,0.606
407,0.6665990345009902,0.606
408,0.6665626591568189,0.606
409,0.6665262297325196,0.606
410,0.6664897458987029,0.606
411,0.6664532062906457,0.606
412,0.6664166105651493,0.606
413,0.6663799588110199,0.606
414,0.6663432497012745,0.606
415,0.6663064835500241,0.606
416,0.6662696581812207,0.606
417,0.6662327745661205,0.606
418,0.666195831266871,0.606
419,0.6661588276557444,0.606
420,0.6661217639831514,0.606
421,0.6660846388098872,0.606
422,0.6660474521640426,0.606
423,0.6660102031251757,0.606
424,0.6659728914745338,0.606
425,0.6659355160421788,0.606
426,0.6658980766143702,0.606
427,0.6658605734462919,0.606
428,0.6658230047130171,0.606
429,0.6657853703222236,0.606
430,0.6657476696478919,0.606
431,0.6657099019858308,0.606
432,0.665672067438577,0.606
433,0.6656341649410761,0.606
434,0.6655961939935653,0.606
435,0.6655581539044916,0.606
436,0.6655200446399049,0.606
437,0.6654818652086697,0.606
438,0.6654436150274141,0.606
439,0.665405293392589,0.606
440,0.6653669002949221,0.606
441,0.665328435016682,0.606
442,0.6652898972437896,0.606
443,0.6652512861026999,0.606
444,0.6652126007507914,0.606
445,0.6651738414554926,0.606
446,0.6651350069864338,0.606
447,0.6650960973113935,0.606
448,0.6650571112893172,0.606
449,0.6650180491354178,0.606
450,0.6649789099155007,0.606
451,0.6649396934017946,0.606
452,0.664900398933436,0.606
453,0.6648610257695471,0.606
454,0.6648215731898138,0.606
455,0.6647820412961494,0.606
456,0.6647424289330882,0.606
457,0.6647027364960955,0.606
458,0.664662962899637,0.606
459,0.6646231078704293,0.606
460,0.6645831708334197,0.606
461,0.664543151663835,0.606
462,0.664503048885249,0.606
463,0.664462862015145,0.606
464,0.6644225913103351,0.606
465,0.664382236348978,0.606
466,0.6643417963766493,0.606
467,0.6643012703242654,0.606
468,0.6642606584799303,0.606
469,0.664219959868552,0.606
470,0.6641791742148726,0.606
471,0.6641383006442716,0.606
472,0.6640973396196004,0.606
473,0.6640562903561399,0.606
474,0.6640151521421086,0.606
475,0.6639739246453303,0.606
476,0.663932607520384,0.606
477,0.6638911996465088,0.606
478,0.6638497013882486,0.606
479,0.6638081118289061,0.606
480,0.663766430037869,0.606
481,0.6637246571042003,0.606
482,0.6636827906786846,0.606
483,0.663640831670585,0.606
484,0.6635987791500407,0.606
485,0.6635566325643084,0.606
486,0.663514391856695,0.606
487,0.6634720563420278,0.606
488,0.6634296254634583,0.606
489,0.6633870989600107,0.606
490,0.6633444765972403,0.606
491,0.6633017570698755,0.606
492,0.6632589412799811,0.606
493,0.6632160281297863,0.606
494,0.6631730168483791,0.606
495,0.6631299072056422,0.606
496,0.6630866990535074,0.606
497,0.6630433917698955,0.606
498,0.6629999857518104,0.606
499,0.6629564794692266,0.606
500,0.6629128733852808,0.606
501,0.6628691666543253,0.606
502,0.662825358896605,0.606
503,0.662781449642808,0.606
504,0.6627374384451862,0.606
505,0.662693325685774,0.606
506,0.6626491100421497,0.606
507,0.6626047909984252,0.606
508,0.6625603692208393,0.606
509,0.6625158434794864,0.606
510,0.6624712136096642,0.606
511,0.6624264798360449,0.606
512,0.6623816415625731,0.606
513,0.6623366980864871,0.606
514,0.6622916493250116,0.606
515,0.6622464948699072,0.606
516,0.6622012342995036,0.606
517,0.6621558669270915,0.606
518,0.662110393120704,0.606
519,0.6620648122548256,0.606
520,0.6620191235202498,0.606
521,0.6619733270434315,0.606
522,0.6619274224857413,0.606
523,0.6618814095549005,0.607
524,0.6618352885240539,0.607
525,0.6617890581508069,0.607
526,0.6617427185540389,0.607
527,0.661696269333043,0.607
528,0.6616497102355604,0.607
529,0.6616030408258298,0.607
530,0.6615562614319898,0.607
531,0.6615093713829618,0.607
532,0.6614623704537428,0.607
533,0.6614152583455684,0.607
534,0.6613680343868499,0.607
535,0.6613206995243355,0.607
536,0.6612732523810417,0.607
537,0.6612256925460054,0.607
538,0.6611780203321929,0.607
539,0.6611302353849977,0.607
540,0.6610823379003525,0.607
541,0.6610343273122461,0.607
542,0.6609862028780019,0.607
543,0.6609379649447533,0.607
544,0.6608896132341576,0.607
545,0.6608411473634623,0.607
546,0.6607925670672222,0.607
547,0.6607438727655022,0.607
548,0.6606950635379384,0.607
549,0.6606461396594842,0.607
550,0.6605971010044145,0.607
551,0.6605479472371699,0.607
552,0.6604986782629896,0.607
553,0.6604492933318957,0.607
554,0.6603997929037737,0.607
555,0.6603501760828103,0.607
556,0.660300443746646,0.607
557,0.6602505955095174,0.607
558,0.6602006310199816,0.607
559,0.6601505503784124,0.607
560,0.6601003531723388,0.607
561,0.660050038975483,0.607
562,0.6599996084152344,0.607
563,0.6599490612610203,0.607
564,0.6598983964777229,0.607
565,0.6598476158796401,0.607
566,0.6597967173043221,0.607
567,0.6597457023982672,0.607
568,0.6596945688610265,0.607
569,0.659643319066997,0.607
570,0.6595919517182206,0.607
571,0.6595404670825049,0.607
572,0.659488864531967,0.607
573,0.6594371446332573,0.607
574,0.6593853077636763,0.607
575,0.6593333528983306,0.607
576,0.6592812811911631,0.607
577,0.6592290908338236,0.608
578,0.6591767838688019,0.608
579,0.6591243585602026,0.608
580,0.6590718160780636,0.608
581,0.6590191561379354,0.608
582,0.6589663787189746,0.608
583,0.6589134833497857,0.608
584,0.6588604702636824,0.608
585,0.6588073398749253,0.608
586,0.6587540916935045,0.608
587,0.6587007267031135,0.608
588,0.6586472445191799,0.608
589,0.6585936455735644,0.608
590,0.6585399295191446,0.608
591,0.6584860956708658,0.608
592,0.6584321447629747,0.608
593,0.6583780770394645,0.608
594,0.6583238922710241,0.608
595,0.6582695920688195,0.608
596,0.6582151749111277,0.608
597,0.6581606415455611,0.608
598,0.6581059920787,0.608
599,0.6580512262437588,0.608
600,0.657996344959817,0.608
601,0.6579413470882435,0.608
602,0.6578862335831164,0.608
603,0.657831004475603,0.608
604,0.6577756607698848,0.608
605,0.6577202017468093,0.608
606,0.6576646275342546,0.608
607,0.6576089392480402,0.608
608,0.657553136547159,0.608
609,0.657497219147618,0.608
610,0.6574411882085595,0.608
611,0.6573850436385162,0.608
612,0.657328785413049,0.608
613,0.657272413480207,0.608
614,0.6572159295733115,0.608
615,0.6571593320408836,0.608
616,0.6571026226279993,0.608
617,0.6570458010071512,0.608
618,0.6569888677474021,0.608
619,0.6569318227630934,0.608
620,0.6568746659741198,0.608
621,0.65681739816395,0.608
622,0.6567600201097725,0.608
623,0.6567025313865446,0.608
624,0.6566449330093168,0.608
625,0.6565872246191498,0.608
626,0.6565294075675729,0.608
627,0.6564714813787235,0.608
628,0.6564134466282971,0.608
629,0.6563553038101093,0.608
630,0.6562970537021472,0.607
631,0.6562386957120652,0.607
632,0.6561802315830173,0.607
633,0.6561216605643936,0.607
634,0.6560629831110164,0.607
635,0.6560042009242174,0.608
636,0.655945313103985,0.608
637,0.6558863206152676,0.608
638,0.6558272239158259,0.609
639,0.6557680232759624,0.609
640,0.6557087189850985,0.61
641,0.6556493118571266,0.61
642,0.6555898025915914,0.61
643,0.655530191289948,0.61
644,0.6554704784450922,0.609
645,0.6554106649107114,0.609
646,0.6553507511969158,0.609
647,0.6552907372759356,0.608
648,0.6552306244013456,0.608
649,0.6551704128787029,0.608
650,0.6551101025364696,0.608
651,0.6550496949145077,0.608
652,0.6549891905241247,0.608
653,0.6549285891542458,0.608
654,0.6548678925614259,0.609
655,0.6548070995804744,0.609
656,0.6547462121140145,0.609
657,0.6546852306340666,0.61
658,0.6546241558599015,0.61
659,0.6545629879830029,0.61
660,0.6545017274173537,0.61
661,0.6544403754927286,0.61
662,0.6543789321062079,0.611
663,0.6543173988074548,0.611
664,0.6542557758432478,0.612
665,0.6541940641133829,0.613
666,0.6541322635555548,0.613
667,0.654070375838504,0.613
668,0.6540084005185739,0.613
669,0.6539463387776584,0.613
670,0.6538841914390489,0.613
671,0.6538219587970155,0.613
672,0.6537596423305512,0.612
673,0.6536972426956852,0.612
674,0.6536347597510981,0.612
675,0.6535721950172172,0.612
676,0.6535095492117482,0.612
677,0.6534468225065144,0.613
678,0.6533840159157562,0.614
679,0.6533211309643782,0.614
680,0.6532581676258983,0.614
681,0.6531951262045113,0.614
682,0.6531320077946066,0.614
683,0.6530688138980979,0.613
684,0.6530055448701012,0.612
685,0.6529422011456278,0.611
686,0.6528787836511699,0.611
687,0.6528152928050228,0.611
688,0.6527517305138643,0.61
689,0.6526880979676348,0.61
690,0.6526243943142588,0.61
691,0.6525606211849216,0.611
692,0.6524967794761491,0.611
693,0.6524328706812335,0.612
694,0.6523688946622761,0.612
695,0.652304851608888,0.612
696,0.6522407441538196,0.613
697,0.6521765717933674,0.613
698,0.652112335899229,0.614
699,0.6520480364561979,0.614
700,0.6519836762980576,0.614
701,0.6519192551663922,0.614
702,0.6518547734334322,0.614
703,0.6517902322981896,0.614
704,0.6517256332292426,0.615
705,0.6516609768479336,0.616
706,0.6515962639066449,0.616
707,0.6515314956870523,0.616
708,0.6514666722962172,0.616
709,0.651401795239882,0.616
710,0.6513368654036646,0.616
711,0.6512718842062726,0.617
712,0.6512068509262708,0.617
713,0.6511417685225529,0.617
714,0.6510766356156673,0.617
715,0.6510114549923612,0.617
716,0.6509462271971417,0.617
717,0.6508809532005744,0.617
718,0.6508156340023303,0.616
719,0.650750269273383,0.616
720,0.6506848614446409,0.615
721,0.6506194107653667,0.615
722,0.6505539185515329,0.615
723,0.6504883853979282,0.616
724,0.6504228129711677,0.617
725,0.6503572012578575,0.614
726,0.6502915513507864,0.614
727,0.6502258649515215,0.613
728,0.6501601422929971,0.614
729,0.6500943855329224,0.615
730,0.6500285939753567,0.617
731,0.6499627682233228,0.618
732,0.6498969111602655,0.619
733,0.649831023229988,0.619
734,0.6497651049779991,0.619
735,0.6496991581118232,0.621
736,0.6496331822166236,0.621
737,0.6495671787849949,0.622
738,0.6495011488371597,0.624
739,0.6494350938442139,0.626
740,0.6493690142651328,0.626
741,0.6493029114321289,0.627
742,0.6492367857021436,0.628
743,0.6491706383279363,0.628
744,0.6491044710254074,0.628
745,0.6490382836296281,0.628
746,0.6489720775618821,0.627
747,0.6489058537042146,0.627
748,0.6488396131342097,0.626
749,0.6487733569461814,0.627
750,0.648707086242162,0.626
751,0.6486408013379306,0.626
752,0.6485745035978467,0.626
753,0.648508193174748,0.626
754,0.6484418725465432,0.626
755,0.6483755413615286,0.626
756,0.6483092013479653,0.626
757,0.6482428537567687,0.627
758,0.6481764979379977,0.626
759,0.6481101365635149,0.626
760,0.6480437696777388,0.626
761,0.6479773988743145,0.627
762,0.6479110235644635,0.627
763,0.6478446462609434,0.627
764,0.6477782681130705,0.627
765,0.6477118889955527,0.625
766,0.6476455093715869,0.625
767,0.6475791316815493,0.625
768,0.6475127561854078,0.626
769,0.6474463839958,0.626
770,0.6473800151425223,0.626
771,0.6473136515086276,0.626
772,0.6472472935495451,0.626
773,0.6471809425557017,0.626
774,0.6471145991795979,0.626
775,0.6470482638073247,0.626
776,0.6469819380306552,0.627
777,0.6469156224614582,0.627
778,0.6468493182014003,0.627
779,0.6467830259467535,0.626
